Melody ID,Year,BPM,Tonic,Mode,Length (seconds),Length (notes),Onset Density,Contour Score,Tonality,Melody Range,nPVI,STM IC,Syncopation Score,Pitch STD
200901_3,2009,130,A,Major,17.538406000000002,63,3.592116638193916,1.564516129032258,0.7262895136849816,10,16.129032258064516,2.4820423,1.3402221,2.0091752249129824
200901_4,2009,130,A,Major,14.769184,27,1.828130789080832,2.730769230769231,0.6744766157742904,7,30.000000000000004,3.448077,2.56898,2.0272492123561494
200902_1,2009,119,E,Major,15.630231,55,3.518821954710714,0.7037037037037037,0.7704493147145474,14,6.172839506172839,2.173337,0.8845416,2.395588231563724
200902_2,2009,119,E,Major,15.3781305,40,2.6010964076550134,2.076923076923077,0.7600293718237869,9,20.51282051282051,2.3804767,1.5317353,2.3579652245103193
200902_3,2009,119,E,Major,13.613427,38,2.7913617930297785,2.189189189189189,0.7757533817241047,17,29.72972972972973,3.1098423,1.3863069,4.464696854831263
200903_1,2009,119,Db,Minor,31.5125625,87,2.7608037270850314,2.1511627906976742,0.880894540510864,12,40.69767441860467,3.2945023,1.4029859,3.2804364110035116
200903_2,2009,119,Db,Minor,17.814937872070313,43,2.413704740863229,1.8571428571428568,0.6911681585361973,10,36.34920634920636,3.7739208,2.3825696,2.2443969053850767
200903_3,2009,119,Db,Minor,32.100961127929686,110,3.426688676442577,1.0825688073394495,0.7303313894781349,12,27.76758409785933,2.7303133,1.4944696,2.578358757872442
200903_4,2009,119,Db,Minor,14.8739295,44,2.958196083960193,1.744186046511628,0.8591526635072004,12,47.10963455149503,3.8985505,1.265871,3.0061919570520823
200904_1,2009,128,C,Major,16.8,33,1.9642857142857144,3.78125,0.8652186419151274,10,29.166666666666664,3.1459827,1.818859,3.591388537229626
200904_2,2009,128,C,Major,14.4,46,3.1944444444444446,2.688888888888889,0.7734682951035926,12,27.85185185185185,3.0279727,1.4413173,3.6368727088240296
200904_3,2009,128,C,Major,15.84,54,3.409090909090909,2.0,0.6452561676491594,8,10.314465408805033,2.8851454,1.5544242,2.0919369671069017
200904_4,2009,128,C,Major,14.64,42,2.8688524590163937,0.926829268292683,0.7385384262754011,9,17.886178861788622,2.332246,1.5425184,2.3584652375313886
200905_1,2009,119,D,Major,13.846139999999998,31,2.238891127780017,1.0,0.7010600855979074,7,32.22222222222222,3.5230258,1.7554791,1.6983802040113785
200905_2,2009,119,D,Major,18.20511,46,2.526763090143372,1.2,0.7033089418399417,8,20.0,3.399114,1.4707649,1.9854146810116424
200905_3,2009,119,D,Major,16.410239999999998,45,2.7421902421902424,2.0454545454545454,0.5962897856092642,5,28.78787878787877,3.171434,1.5068938,1.6275407487644937
200905_4,2009,119,D,Major,18.20511,38,2.0873260309880037,1.351351351351351,0.6742363164244912,8,35.74503381590102,4.4009643,2.258029,2.10805735623453
201001_1,2010,120,D,Minor,13.75,36,2.618181818181818,0.5428571428571428,0.691420627233775,5,9.523809523809524,1.9378217,1.3858858,1.0374916331657276
