ID,Year,Tonality,MIC,Pitch STD,MIS,Onset Density,nPVI,RIC
1961_02_3,1961,0.6909270423424083,4.3149743,2.959716943498697,1.9545454545454544,1.2665485213532783,72.94372294372295,2.8694093
1993_04_2,1993,0.701330546422571,2.4839299,2.081248957290363,1.574468085106383,2.6803414336183087,31.205673758865256,1.530424
1984_02_2,1984,0.7321615046513509,3.0434945,2.711776657265286,2.425531914893617,2.2084503361502965,43.64741641337387,2.4515069
1971_01_2,1971,0.6798639492575965,4.5249524,2.5152313787977616,2.260869565217391,1.782455932397685,35.87301587301588,2.857319
1992_04_2,1992,0.8288330088153361,5.0883164,3.79639694418082,3.515151515151515,1.6738461538461538,52.121212121212125,2.390449
1970_01_2,1970,0.9066949759641416,3.9476259,3.419631201024521,2.2222222222222223,0.9824561403508772,59.61199294532628,2.3691196
1985_02_2,1985,0.7142623076126736,4.684913,2.818997261816722,2.84,1.5294117647058822,51.04761904761905,2.3342862
1998_04_1,1998,0.6955815275101243,1.7344418,1.0935790216496992,0.8,2.7640631910157976,2.222222222222222,0.5473967
1999_04_1,1999,0.7434768937907824,3.6229687,3.3154227575415613,2.018181818181818,1.8666664800000188,50.66666666666667,2.1426532
2009_05_3,2009,0.596287386359695,3.171434,1.6275407487644935,2.0454545454545454,2.793607620998838,28.78787878787877,1.5337144
1989_05_2,1989,0.5584853912201162,3.2735426,2.591730415368928,2.347826086956522,2.910805170649794,17.681159420289855,1.3261565
2002_01_4,2002,0.5609453646164109,3.0560641,2.7386127875258306,2.1333333333333333,1.435764523908173,0.0,2.5040836
1988_05_2,1988,0.8449982438184581,5.216096,2.341874249399399,1.8,1.234567901234568,40.66666666666667,3.9146583
